epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,8824.79,1.43383,1.49184,1.78563,0.80358,0.78725,0.86085,0.53674,1.31404,0.99026,1.81207,0.0092575,0.0092575,0.0092575
77,8940.85,1.42432,1.4993,1.78285,0.83046,0.79454,0.8752,0.53741,1.32959,0.98187,1.82619,0.0092476,0.0092476,0.0092476
78,9056.62,1.39869,1.47021,1.76281,0.818,0.79011,0.87111,0.54234,1.30355,0.96748,1.79106,0.0092377,0.0092377,0.0092377
79,9172.77,1.39737,1.4826,1.75326,0.81263,0.78672,0.87429,0.5536,1.28877,0.96627,1.77686,0.0092278,0.0092278,0.0092278
80,9288.39,1.40732,1.49483,1.77146,0.81348,0.82173,0.88665,0.55688,1.30739,0.91817,1.79778,0.0092179,0.0092179,0.0092179
81,9404.21,1.39489,1.44024,1.73213,0.83455,0.80909,0.8902,0.56244,1.27482,0.8926,1.72114,0.009208,0.009208,0.009208
82,9520.33,1.39236,1.43655,1.76659,0.8218,0.79764,0.87515,0.56133,1.27827,0.93781,1.78461,0.0091981,0.0091981,0.0091981
83,9635.95,1.40162,1.40426,1.74027,0.8447,0.8305,0.90247,0.58612,1.23018,0.86564,1.69166,0.0091882,0.0091882,0.0091882
84,9751.61,1.36812,1.40285,1.72529,0.83936,0.80515,0.88534,0.57509,1.26038,0.90016,1.73358,0.0091783,0.0091783,0.0091783
85,9867.69,1.3759,1.38475,1.72377,0.85007,0.85754,0.91624,0.60342,1.20752,0.81677,1.68635,0.0091684,0.0091684,0.0091684
86,9983.61,1.38616,1.3956,1.73071,0.83462,0.84813,0.90893,0.59736,1.22593,0.8406,1.70407,0.0091585,0.0091585,0.0091585
87,10099.5,1.32927,1.34766,1.68704,0.86904,0.84787,0.92079,0.61443,1.18758,0.79257,1.65844,0.0091486,0.0091486,0.0091486
88,10215.7,1.31459,1.324,1.69479,0.8655,0.83896,0.91171,0.59376,1.23781,0.8193,1.70291,0.0091387,0.0091387,0.0091387
89,10331.4,1.34345,1.31638,1.70251,0.87144,0.86821,0.93411,0.636,1.13156,0.76245,1.61124,0.0091288,0.0091288,0.0091288
